name,team_x,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
0,24,0,0,11,0,11.2,2,0,2.2,10.4,19,90,13,16,0,0,0,70232,2.0,0.0,0.0,0,0,50,1,0,1,1.0
6,4,0,0,14,0,11.8,3,0,2.8,14.8,19,90,4,6,0,0,0,187445,3.0,1.0,1.0,0,0,45,1,0,1,6.0
8,23,0,0,0,0,0.0,0,0,0.0,0.0,13,0,8,11,0,0,0,74895,3.0,0.0,0.0,0,0,45,1,0,0,0.0
10,0,0,0,21,1,2.8,0,0,1.7,10.2,11,90,7,9,0,0,0,112927,3.0,0.0,4.0,0,0,50,0,0,6,0.0
20,9,0,0,0,0,0.0,0,0,0.0,0.0,11,0,0,0,0,0,0,1789,3.0,0.0,0.0,0,0,45,1,0,0,0.0
25,6,0,0,14,0,0.7,1,0,2.1,17.8,19,90,2,4,0,0,0,17362,3.0,1.0,2.0,0,0,50,0,0,2,-3.0
27,12,1,0,20,0,19.6,3,0,4.7,23.4,16,90,9,10,0,0,0,766431,3.0,4.0,4.0,0,0,70,1,0,4,6.0
29,24,0,0,14,0,1.1,2,0,3.7,30.0,19,90,13,16,0,0,0,25125,2.0,0.0,6.0,0,0,50,1,0,1,1.0
31,9,0,0,0,0,0.0,0,0,0.0,0.0,11,0,0,0,0,0,0,7957,3.0,0.0,0.0,0,0,45,1,0,0,0.0
32,6,0,0,0,0,0.0,0,0,0.0,0.0,19,0,2,4,0,0,0,133067,3.0,1.0,0.0,0,0,50,0,0,0,0.0
34,24,0,0,0,0,0.0,0,0,0.0,0.0,19,0,13,16,0,0,0,15272,2.0,0.0,0.0,0,0,45,1,0,0,1.0
42,10,0,0,0,0,0.0,0,0,0.0,0.0,16,0,10,12,0,0,0,920095,3.0,4.0,0.0,0,0,40,0,0,0,0.0
57,6,0,0,0,0,0.0,0,0,0.0,0.0,19,0,2,4,0,0,0,72270,3.0,1.0,0.0,0,0,55,0,0,0,0.0
45,21,0,0,15,0,35.5,1,0,9.2,20.2,15,90,6,8,0,0,0,155868,1.0,0.0,36.0,0,0,50,1,0,2,1.0
50,24,0,0,0,0,0.0,0,0,0.0,0.0,19,0,13,16,0,0,0,161367,2.0,0.0,0.0,0,0,40,1,0,0,0.0
53,4,0,0,16,0,0.8,3,0,1.5,14.2,19,78,4,6,0,0,0,103827,3.0,1.0,0.0,0,0,45,1,0,1,6.0
63,4,0,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,824870,3.0,1.0,0.0,0,0,40,1,0,0,0.0
73,0,0,0,0,0,0.0,0,0,0.0,0.0,11,0,7,9,0,0,0,1043,3.0,0.0,0.0,0,0,45,0,0,0,0.0
76,21,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,8,0,0,0,14540,1.0,0.0,0.0,0,0,40,1,0,0,0.0
77,23,0,0,0,0,0.0,0,0,0.0,0.0,13,0,8,11,0,0,0,4451,3.0,0.0,0.0,0,0,45,1,0,0,0.0
88,11,0,0,0,0,0.0,0,0,0.0,0.0,13,0,17,23,0,0,0,1369,3.0,0.0,0.0,0,0,45,0,0,0,0.0
83,19,0,0,14,0,1.5,2,0,1.5,11.4,17,70,19,25,0,0,0,135308,2.0,0.0,2.0,0,0,50,1,0,1,2.0
92,16,0,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,3326,2.0,0.0,0.0,0,0,45,0,0,0,0.0
97,25,0,2,29,1,0.0,0,0,2.2,22.0,17,90,14,19,0,0,0,556410,2.0,0.0,0.0,0,0,50,0,0,8,1.0
98,23,0,0,0,0,0.0,0,0,0.0,0.0,13,0,8,11,0,0,0,4560,3.0,0.0,0.0,0,0,45,1,0,0,0.0
103,9,0,0,0,0,0.0,0,0,0.0,0.0,11,0,0,0,0,0,0,10166,3.0,0.0,0.0,0,0,45,1,0,0,0.0
105,0,0,0,0,0,0.0,0,0,0.0,0.0,11,0,7,9,0,0,0,35774,3.0,0.0,0.0,0,0,50,0,0,0,0.0
106,6,0,0,3,0,0.5,0,0,0.3,0.4,19,5,2,4,0,0,0,469354,3.0,1.0,2.0,0,0,60,0,0,1,0.0
110,11,0,0,0,0,0.0,0,0,0.0,0.0,13,0,17,23,0,0,0,86735,3.0,0.0,0.0,0,0,40,0,0,0,0.0
112,21,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,8,0,0,0,24146,1.0,0.0,0.0,0,0,50,1,0,0,0.0
108,4,0,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,51065,3.0,1.0,0.0,0,0,45,1,0,0,1.0
113,23,0,0,8,0,0.6,3,0,1.0,9.6,13,90,8,11,0,0,0,19684,3.0,0.0,0.0,0,0,45,1,0,1,0.0
114,23,0,0,6,0,11.5,1,0,3.0,6.2,13,68,8,11,0,0,0,5791,3.0,0.0,12.0,0,0,45,1,0,2,0.0
115,0,0,0,0,0,0.0,0,0,0.0,0.0,11,0,7,9,0,0,0,69564,3.0,0.0,0.0,0,0,55,0,0,0,1.0
116,21,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,8,0,0,0,62607,1.0,0.0,0.0,0,0,55,1,0,0,1.0
117,16,0,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,27859,2.0,0.0,0.0,0,0,45,0,0,0,0.0
118,9,0,0,12,0,2.6,3,0,2.1,11.4,11,90,0,0,0,0,0,0,3.0,0.0,7.0,0,0,45,1,0,1,0.0
137,6,0,0,0,0,0.0,0,0,0.0,0.0,19,0,2,4,0,0,0,11017,3.0,1.0,0.0,0,0,50,0,0,0,0.0
138,16,0,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,5746,2.0,0.0,0.0,0,0,45,0,0,0,0.0
139,19,0,0,13,0,6.9,2,0,2.6,13.2,17,90,19,25,0,0,0,340758,2.0,0.0,6.0,0,0,55,1,0,1,2.0
141,21,0,0,13,0,0.7,1,0,1.8,17.4,15,90,6,8,0,0,0,95090,1.0,0.0,0.0,0,0,50,1,0,2,1.0
144,19,0,0,0,0,0.0,0,0,0.0,0.0,17,0,19,25,0,0,0,51564,2.0,0.0,0.0,0,0,45,1,0,0,1.0
146,10,0,0,0,0,0.0,0,0,0.0,0.0,16,0,10,12,0,0,0,44238,3.0,4.0,0.0,0,0,45,0,0,0,1.0
148,16,0,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,1810,2.0,0.0,0.0,0,0,50,0,0,0,0.0
149,24,0,0,0,0,0.0,0,0,0.0,0.0,19,0,13,16,0,0,0,11269,2.0,0.0,0.0,0,0,45,1,0,0,0.0
150,16,0,0,27,1,0.1,0,0,2.8,26.0,19,90,18,24,0,0,0,88657,2.0,0.0,2.0,0,0,50,0,0,6,1.0
154,25,0,0,21,1,1.5,0,0,1.7,15.2,17,90,14,19,0,0,0,15739,2.0,0.0,0.0,0,0,50,0,1,5,1.0
155,6,0,0,0,0,0.0,0,0,0.0,0.0,19,0,2,4,0,0,0,21251,3.0,1.0,0.0,0,0,50,0,0,0,0.0
156,11,0,0,0,0,0.0,0,0,0.0,0.0,13,0,17,23,0,0,0,6080,3.0,0.0,0.0,0,0,45,0,0,0,0.0
160,16,0,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,3104,2.0,0.0,0.0,0,0,45,0,0,0,0.0
166,0,0,3,37,1,0.3,0,1,8.5,51.8,11,90,7,9,0,0,0,85593,3.0,0.0,33.0,0,0,50,0,0,15,2.0
170,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,20,0,0,0,5946,0.0,1.0,0.0,0,0,45,1,0,0,0.0
171,19,0,0,13,0,15.7,2,0,4.3,1.6,17,90,19,25,0,0,0,304826,2.0,0.0,26.0,0,0,55,1,0,1,2.0
188,0,0,0,23,1,26.4,0,0,4.0,9.8,11,90,7,9,0,0,0,240975,3.0,0.0,4.0,0,0,50,0,1,5,2.0
195,24,0,0,15,0,0.9,2,0,2.6,24.6,19,90,13,16,0,0,0,101787,2.0,0.0,0.0,0,0,45,1,0,1,1.0
198,19,0,0,8,0,2.3,2,0,2.2,19.2,17,90,19,25,0,0,0,46550,2.0,0.0,0.0,0,0,50,1,0,1,2.0
199,19,0,0,0,0,0.0,0,0,0.0,0.0,17,0,19,25,0,0,0,11802,2.0,0.0,0.0,0,0,45,1,0,0,0.0
201,20,0,0,12,0,1.1,1,0,3.7,18.4,14,90,5,7,0,0,0,30741,0.0,1.0,17.0,0,0,50,0,0,2,-1.0
204,20,0,0,0,0,0.0,0,0,0.0,0.0,14,0,5,7,0,0,0,84869,0.0,1.0,0.0,0,0,40,0,0,0,0.0
206,16,0,0,21,1,0.3,0,0,2.2,21.8,19,90,18,24,0,0,0,219489,2.0,0.0,0.0,0,0,45,0,0,6,0.0
208,16,0,1,31,1,39.8,0,0,5.9,19.4,19,90,18,24,0,0,0,76806,2.0,0.0,0.0,0,0,45,0,0,7,0.0
212,11,1,1,32,1,13.0,0,0,3.5,20.0,13,90,17,23,0,0,0,681843,3.0,0.0,2.0,0,0,45,0,1,9,7.0
216,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,20,0,0,0,538,0.0,1.0,0.0,0,0,45,1,0,0,0.0
219,20,0,0,19,0,10.4,0,0,3.2,17.6,14,45,5,7,0,0,0,36388,0.0,1.0,4.0,0,0,45,0,0,1,0.0
217,20,0,0,11,0,1.3,1,0,1.0,8.8,14,45,5,7,0,0,0,196908,0.0,1.0,0.0,0,0,45,0,0,1,0.0
220,21,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,8,0,0,0,8128,1.0,0.0,0.0,0,0,50,1,0,0,0.0
223,8,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,252603,1.0,0.0,0.0,0,0,40,0,0,0,0.0
224,16,0,0,27,1,19.7,0,0,4.4,22.4,19,90,18,24,0,0,0,21964,2.0,0.0,2.0,0,0,45,0,1,5,1.0
226,19,0,0,0,0,0.0,0,0,0.0,0.0,17,0,19,25,0,0,0,7325,2.0,0.0,0.0,0,0,45,1,0,0,0.0
238,12,0,0,2,0,0.0,0,0,0.0,0.0,16,1,9,10,0,0,0,30541,3.0,4.0,0.0,0,0,55,1,0,1,0.0
239,7,0,0,22,1,0.7,0,0,1.4,13.2,14,90,15,20,0,0,0,105207,0.0,1.0,0.0,0,0,45,1,0,6,1.0
233,9,0,0,12,0,4.3,3,0,1.5,10.6,11,90,0,0,0,0,0,60330,3.0,0.0,0.0,0,0,50,1,0,1,3.0
240,19,0,0,4,0,0.8,2,0,1.6,8.8,17,90,19,25,0,0,0,1006715,2.0,0.0,6.0,0,0,50,1,1,0,-2.0
242,25,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,2930,2.0,0.0,0.0,0,0,55,0,0,0,0.0
245,8,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,12770,1.0,0.0,0.0,0,0,45,0,0,0,0.0
246,11,0,0,0,0,0.0,0,0,0.0,0.0,13,0,17,23,0,0,0,7125,3.0,0.0,0.0,0,0,55,0,0,0,0.0
249,12,0,0,13,0,1.0,3,0,2.0,19.2,16,90,9,10,0,0,0,292725,3.0,4.0,0.0,0,0,55,1,0,1,0.0
260,4,0,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,22681,3.0,1.0,0.0,0,0,45,1,0,0,0.0
262,21,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,8,0,0,0,9137,1.0,0.0,0.0,0,0,45,1,0,0,0.0
276,16,0,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,21423,2.0,0.0,0.0,0,0,40,0,0,0,0.0
277,9,0,0,0,0,0.0,0,0,0.0,0.0,11,0,0,0,0,0,0,7610,3.0,0.0,0.0,0,0,45,1,0,0,2.0
281,23,0,0,12,0,1.7,3,0,0.8,6.4,13,90,8,11,0,0,0,48768,3.0,0.0,0.0,0,0,45,1,0,1,-4.0
282,0,0,0,25,1,2.5,0,0,1.7,12.8,11,90,7,9,0,0,0,686005,3.0,0.0,2.0,0,0,55,0,0,6,0.0
286,12,0,0,0,0,0.0,0,0,0.0,0.0,16,0,9,10,0,0,0,3680,3.0,4.0,0.0,0,0,50,1,0,0,0.0
290,6,0,0,25,0,0.2,1,1,6.9,51.8,19,90,2,4,0,0,0,53224,3.0,1.0,17.0,0,0,50,0,0,8,1.0
291,23,0,0,11,0,0.3,3,0,1.4,13.8,13,90,8,11,0,0,0,9197,3.0,0.0,0.0,0,0,45,1,0,1,0.0
294,20,0,0,12,0,18.6,1,0,4.7,24.0,14,90,5,7,0,0,0,748080,0.0,1.0,4.0,0,0,45,0,1,1,3.0
299,10,0,0,0,0,0.0,0,0,0.0,0.0,16,0,10,12,0,0,0,87393,3.0,4.0,0.0,0,0,40,0,0,0,0.0
304,4,0,0,16,0,1.2,3,0,2.9,20.4,19,90,4,6,0,0,0,531265,3.0,1.0,7.0,0,0,50,1,0,1,7.0
307,10,0,0,0,0,0.0,0,0,0.0,0.0,16,0,10,12,0,0,0,51620,3.0,4.0,0.0,0,0,45,0,0,0,1.0
316,8,1,3,38,1,19.9,0,0,6.1,40.8,15,90,16,21,0,0,0,397204,1.0,0.0,0.0,0,0,60,0,0,12,1.0
318,10,0,0,15,0,4.3,4,0,4.0,35.6,16,90,10,12,0,0,0,237865,3.0,4.0,0.0,0,0,45,0,0,0,1.0
324,11,0,0,0,0,0.0,0,0,0.0,0.0,13,0,17,23,0,0,0,27278,3.0,0.0,0.0,0,0,45,0,0,0,0.0
332,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,20,0,0,0,1486,0.0,1.0,0.0,0,0,45,1,0,0,2.0
340,6,0,0,14,0,3.7,1,0,2.4,17.8,19,90,2,4,0,0,0,205442,3.0,1.0,2.0,0,0,60,0,0,2,1.0
343,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,20,0,0,0,79848,0.0,1.0,0.0,0,0,45,1,0,0,0.0
344,4,0,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,1315,3.0,1.0,0.0,0,0,45,1,0,0,0.0
345,8,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,8203,1.0,0.0,0.0,0,0,50,0,0,0,0.0
352,4,0,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,622,3.0,1.0,0.0,0,0,45,1,0,0,0.0
348,21,0,0,6,0,3.5,1,0,5.9,20.0,15,75,6,8,0,0,0,1485702,1.0,0.0,35.0,0,0,60,1,0,2,0.0
363,9,0,0,0,0,0.0,0,0,0.0,0.0,11,0,0,0,0,0,0,11972,3.0,0.0,0.0,0,0,45,1,0,0,0.0
358,25,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,108444,2.0,0.0,0.0,0,0,40,0,0,0,0.0
361,19,0,0,0,0,0.0,0,0,0.0,0.0,17,0,19,25,0,0,0,4284,2.0,0.0,0.0,0,0,45,1,0,0,0.0
366,9,0,0,12,0,0.6,3,0,1.7,16.8,11,90,0,0,0,0,0,19305,3.0,0.0,0.0,0,0,45,1,1,0,0.0
367,8,0,0,29,1,0.1,0,0,2.6,25.8,15,90,16,21,0,0,0,101537,1.0,0.0,0.0,0,0,50,0,0,6,7.0
373,20,0,0,0,0,0.0,0,0,0.0,0.0,14,0,5,7,0,0,0,22240,0.0,1.0,0.0,0,0,45,0,0,0,0.0
378,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,20,0,0,0,113206,0.0,1.0,0.0,0,0,40,1,0,0,0.0
383,12,0,0,0,0,0.0,0,0,0.0,0.0,16,0,9,10,0,0,0,270752,3.0,4.0,0.0,0,0,40,1,0,0,0.0
395,10,0,0,0,0,0.0,0,0,0.0,0.0,16,0,10,12,0,0,0,52110,3.0,4.0,0.0,0,0,40,0,0,0,0.0
398,23,0,0,2,0,0.5,3,0,0.1,0.2,13,90,8,11,0,0,0,21428,3.0,0.0,0.0,0,0,50,1,1,0,0.0
400,25,0,0,2,0,0.5,0,0,0.1,0.6,17,22,14,19,0,0,0,106766,2.0,0.0,0.0,0,0,40,0,0,1,0.0
405,0,0,0,0,0,0.0,0,0,0.0,0.0,11,0,7,9,0,0,0,769,3.0,0.0,0.0,0,0,45,0,0,0,0.0
407,10,0,0,19,0,0.1,4,0,4.1,41.0,16,90,10,12,0,0,0,97197,3.0,4.0,0.0,0,0,40,0,0,0,0.0
408,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,20,0,0,0,5818,0.0,1.0,0.0,0,0,55,1,0,0,0.0
410,16,0,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,2038,2.0,0.0,0.0,0,0,45,0,0,0,0.0
414,19,0,0,0,0,0.0,0,0,0.0,0.0,17,0,19,25,0,0,0,0,2.0,0.0,0.0,0,0,40,1,0,0,0.0
425,6,1,3,44,0,30.3,1,1,11.8,76.8,19,90,2,4,0,0,0,304155,3.0,1.0,11.0,0,0,50,0,0,14,1.0
433,11,0,0,0,0,0.0,0,0,0.0,0.0,13,0,17,23,0,0,0,8705,3.0,0.0,0.0,0,0,60,0,0,0,0.0
440,10,0,0,14,0,0.2,4,0,4.2,23.4,16,90,10,12,0,0,0,33230,3.0,4.0,18.0,0,0,45,0,0,0,1.0
438,0,0,0,28,1,1.2,0,0,2.2,20.6,11,90,7,9,0,0,0,71148,3.0,0.0,0.0,0,0,45,0,0,6,2.0
442,25,0,3,34,1,0.2,0,1,10.2,63.4,17,90,14,19,0,0,0,177607,2.0,0.0,38.0,0,0,50,0,0,15,1.0
445,25,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,25352,2.0,0.0,0.0,0,0,45,0,0,0,0.0
446,20,0,0,15,0,18.5,1,0,3.7,16.8,14,90,5,7,0,0,0,87171,0.0,1.0,2.0,0,0,50,0,0,2,-1.0
447,24,0,0,14,0,62.3,2,0,8.4,19.4,19,90,13,16,0,0,0,41931,2.0,0.0,2.0,0,0,45,1,1,0,3.0
450,21,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,8,0,0,0,16898,1.0,0.0,0.0,0,0,50,1,0,0,0.0
452,25,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,618483,2.0,0.0,0.0,0,0,45,0,0,0,1.0
457,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,20,0,0,0,0,0.0,1.0,0.0,0,0,40,1,0,0,0.0
460,7,0,1,24,1,0.4,0,0,2.4,15.6,14,90,15,20,0,0,0,18959,0.0,1.0,8.0,0,0,45,1,0,7,0.0
462,0,0,0,0,0,0.0,0,0,0.0,0.0,11,0,7,9,0,0,0,17088,3.0,0.0,0.0,0,0,50,0,0,0,2.0
463,8,0,0,28,1,12.1,0,0,4.3,24.0,15,90,16,21,0,0,0,41401,1.0,0.0,7.0,0,0,50,0,0,6,1.0
466,21,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,8,0,0,0,236728,1.0,0.0,0.0,0,0,55,1,0,0,0.0
470,4,0,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,7211,3.0,1.0,0.0,0,0,45,1,0,0,0.0
471,0,0,0,0,0,0.0,0,0,0.0,0.0,11,0,7,9,0,0,0,899,3.0,0.0,0.0,0,0,50,0,0,0,0.0
473,0,0,0,0,0,0.0,0,0,0.0,0.0,11,0,7,9,0,0,0,12184,3.0,0.0,0.0,0,0,50,0,0,0,0.0
476,10,1,0,21,0,1.3,4,0,2.7,23.2,16,90,10,12,0,0,0,256415,3.0,4.0,2.0,0,0,45,0,0,3,1.0
479,4,1,0,22,0,27.3,3,0,8.1,33.8,19,90,4,6,0,0,0,114860,3.0,1.0,20.0,0,0,45,1,1,3,4.0
485,6,0,0,0,0,0.0,0,0,0.0,0.0,19,0,2,4,0,0,0,179186,3.0,1.0,0.0,0,0,55,0,0,0,0.0
489,11,0,2,38,1,3.0,0,1,8.4,45.8,13,90,17,23,0,0,0,67356,3.0,0.0,35.0,0,0,55,0,0,14,9.0
488,9,0,0,16,0,0.8,3,0,1.7,16.4,11,90,0,0,0,0,0,10082,3.0,0.0,0.0,0,0,45,1,0,1,0.0
493,21,0,0,12,0,11.2,1,0,3.0,17.0,15,90,6,8,0,0,0,166187,1.0,0.0,2.0,0,0,55,1,0,2,0.0
497,12,0,0,10,0,30.4,3,0,3.8,7.8,16,88,9,10,0,0,0,3227802,3.0,4.0,0.0,0,0,75,1,0,1,7.0
501,7,0,0,23,1,0.7,0,0,1.8,17.6,14,90,15,20,0,0,0,783246,0.0,1.0,0.0,0,0,40,1,0,6,5.0
509,12,0,0,19,0,0.8,3,1,7.5,37.6,16,90,9,10,0,0,0,1528505,3.0,4.0,37.0,0,0,65,1,0,7,7.0
514,11,0,0,0,0,0.0,0,0,0.0,0.0,13,0,17,23,0,0,0,5862,3.0,0.0,0.0,0,0,45,0,0,0,1.0
518,0,0,0,0,0,0.0,0,0,0.0,0.0,11,0,7,9,0,0,0,216705,3.0,0.0,0.0,0,0,45,0,0,0,0.0
520,25,0,0,25,1,0.2,0,0,2.2,21.6,17,90,14,19,0,0,0,138741,2.0,0.0,0.0,0,0,55,0,0,6,1.0
524,20,0,0,0,0,0.0,0,0,0.0,0.0,14,0,5,7,0,0,0,5944,0.0,1.0,0.0,0,0,50,0,0,0,0.0
526,8,0,0,27,1,0.4,0,0,2.5,23.2,15,90,16,21,0,0,0,54492,1.0,0.0,1.0,0,0,55,0,0,6,1.0
532,9,0,0,0,0,0.0,0,0,0.0,0.0,11,0,0,0,0,0,0,10480,3.0,0.0,0.0,0,0,45,1,0,0,0.0
535,11,0,0,29,1,1.4,0,0,2.3,15.6,13,90,17,23,0,0,0,771267,3.0,0.0,6.0,0,0,55,0,0,6,1.0
0,24,0,0,17,0,35.0,2,0,6.2,27.0,19,90,0,0,0,0,0,62831,1.0,2.0,0.0,1523,14185,50,0,0,1,7.0
2,15,0,0,0,0,0.0,0,0,0.0,0.0,16,0,5,7,0,0,0,865810,3.0,1.0,0.0,118395,59239,55,1,0,0,1.0
6,4,0,0,21,1,1.0,0,0,1.1,10.0,13,90,13,16,0,0,0,171745,3.0,0.0,0.0,2892,20633,45,0,0,6,1.0
8,23,0,0,0,0,0.0,0,0,0.0,0.0,11,0,6,8,0,0,0,60710,2.0,5.0,0.0,1491,21482,45,0,0,0,0.0
7,1,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,32682,0.0,1.0,0.0,2374,3447,45,1,0,0,0.0
10,0,0,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,152759,1.0,2.0,0.0,27762,14619,50,1,0,0,1.0
20,9,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,10,0,0,0,1371,3.0,4.0,0.0,92,553,45,0,0,0,0.0
25,6,0,0,1,0,0.3,2,0,1.5,14.6,15,45,10,12,0,0,1,24305,2.0,0.0,0.0,2136,2421,50,1,0,-3,0.0
27,12,0,0,26,1,14.3,0,0,5.1,10.6,15,90,4,6,0,0,0,807793,2.0,0.0,26.0,52291,100222,70,0,0,6,10.0
29,24,0,0,12,0,0.5,2,0,4.4,24.4,19,90,0,0,0,0,0,23987,1.0,2.0,19.0,667,5007,50,0,0,1,6.0
30,5,0,0,0,0,0.0,0,0,0.0,0.0,18,0,8,11,0,0,0,0,2.0,4.0,0.0,0,0,40,0,0,0,0.0
31,9,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,10,0,0,0,7841,3.0,4.0,0.0,122,1449,45,0,0,0,0.0
32,6,0,0,0,0,0.0,0,0,0.0,0.0,15,0,10,12,0,0,0,115488,2.0,0.0,0.0,4611,39147,49,1,0,0,0.0
34,24,0,0,18,0,16.8,2,0,3.1,11.0,19,89,0,0,0,0,0,15134,1.0,2.0,3.0,397,2975,45,0,0,1,12.0
39,15,0,0,0,0,0.0,0,0,0.0,0.0,16,0,5,7,0,0,0,1726,3.0,1.0,0.0,51,678,45,1,0,0,0.0
40,14,0,0,0,0,0.0,0,0,0.0,0.0,19,0,19,25,0,0,0,302527,3.0,1.0,0.0,24063,51452,60,0,0,0,0.0
42,10,0,0,0,0,0.0,0,0,0.0,0.0,14,0,7,9,0,0,0,870162,3.0,4.0,0.0,33745,133044,40,1,0,0,0.0
57,6,0,0,0,0,0.0,0,0,0.0,0.0,15,0,10,12,0,0,0,65868,2.0,0.0,0.0,2777,15834,55,1,0,0,0.0
59,14,0,0,11,0,3.9,1,0,2.7,14.6,19,90,19,25,0,0,0,121294,3.0,1.0,8.0,4856,10143,60,0,1,1,0.0
45,21,0,0,2,0,2.0,2,0,0.6,4.4,11,90,15,20,0,0,0,155739,5.0,2.0,0.0,13490,25900,50,0,0,1,2.0
46,5,0,0,0,0,0.0,0,0,0.0,0.0,18,0,8,11,0,0,0,17434,2.0,4.0,0.0,558,3779,40,0,0,0,0.0
50,24,0,0,0,0,0.0,0,0,0.0,0.0,19,0,0,0,0,0,0,163501,1.0,2.0,0.0,7281,19450,40,0,0,0,1.0
51,5,0,0,0,0,0.0,0,0,0.0,0.0,18,0,8,11,0,0,0,20376,2.0,4.0,0.0,129,7515,50,0,0,0,0.0
53,4,0,0,21,1,3.8,0,0,1.7,12.8,13,90,13,16,0,0,0,96397,3.0,0.0,0.0,4037,16719,45,0,0,6,0.0
63,4,0,0,0,0,0.0,0,0,0.0,0.0,13,0,13,16,0,0,0,812242,3.0,0.0,0.0,35034,93945,40,0,0,0,0.0
65,1,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,9780,0.0,1.0,0.0,325,1821,45,1,0,0,0.0
67,5,0,0,0,0,0.0,0,0,0.0,0.0,18,0,8,11,0,0,0,29219,2.0,4.0,0.0,4332,2508,40,0,0,0,0.0
68,15,0,0,0,0,0.0,0,0,0.0,0.0,16,0,5,7,0,0,0,112113,3.0,1.0,0.0,7969,12194,45,1,0,0,0.0
69,23,0,0,0,0,0.0,0,0,0.0,0.0,11,0,6,8,0,0,0,2348,2.0,5.0,0.0,1991,654,45,0,0,0,0.0
73,0,0,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,1100,1.0,2.0,0.0,75,252,45,1,0,0,0.0
76,21,0,0,0,0,0.0,0,0,0.0,0.0,11,0,15,20,0,0,0,24510,5.0,2.0,0.0,3247,2467,40,0,0,0,0.0
77,23,0,0,0,0,0.0,0,0,0.0,0.0,11,0,6,8,0,0,0,4565,2.0,5.0,0.0,102,755,45,0,0,0,0.0
81,5,1,0,23,0,29.3,4,0,6.1,29.6,18,90,8,11,0,0,0,306344,2.0,4.0,2.0,25148,32529,45,0,0,3,2.0
88,11,0,0,0,0,0.0,0,0,0.0,0.0,18,0,3,5,0,0,0,5420,2.0,4.0,0.0,1032,364,45,1,0,0,1.0
83,19,0,0,11,0,0.8,1,0,2.1,16.0,17,67,1,1,0,0,0,126555,0.0,1.0,4.0,3894,18189,50,0,0,2,2.0
86,15,0,0,0,0,0.0,0,0,0.0,0.0,16,0,5,7,0,0,0,14080,3.0,1.0,0.0,1048,1621,50,1,0,0,0.0
92,16,0,0,0,0,0.0,0,0,0.0,0.0,13,0,2,4,0,0,0,4113,3.0,0.0,0.0,422,603,45,1,0,0,0.0
97,25,0,0,10,0,10.0,3,0,2.1,10.8,19,90,11,14,0,0,0,599340,3.0,1.0,0.0,41971,50469,50,1,0,1,-1.0
98,23,0,0,0,0,0.0,0,0,0.0,0.0,11,0,6,8,0,0,0,4540,2.0,5.0,0.0,196,892,45,0,0,0,1.0
